table,rows_in,rows_out,rejected,timestamp,runtime_s
companies,92,92,0,2026-09-23T05:59:32.795463+00:00,0.0402
profitandloss,1276,1073,203,2026-09-23T05:59:33.054438+00:00,0.2589
balancesheet,1312,1140,172,2026-09-23T05:59:33.272413+00:00,0.2179
cashflow,1187,1063,124,2026-09-23T05:59:33.411243+00:00,0.1388
analysis,20,16,4,2026-09-23T05:59:33.430053+00:00,0.0187
documents,1585,1457,128,2026-09-23T05:59:33.557509+00:00,0.1274
prosandcons,16,14,2,2026-09-23T05:59:33.573256+00:00,0.0157
sectors,92,92,0,2026-09-23T05:59:33.597774+00:00,0.0245
stock_prices,5520,5520,0,2026-09-23T05:59:34.208726+00:00,0.6109
market_cap,552,552,0,2026-09-23T05:59:34.284502+00:00,0.0757
financial_ratios,1184,0,0,2026-09-23T05:59:34.475718+00:00,0.1912
peer_groups,56,0,0,2026-09-23T05:59:34.485400+00:00,0.0097
